As of Date,Region,Total Patients Hospitalized,Total Patients in ICU
08/20/2020,WESTERN NEW YORK,24,5
08/21/2020,CAPITAL REGION,40,5
08/21/2020,CENTRAL NEW YORK,12,3
08/21/2020,FINGER LAKES,31,8
08/21/2020,LONG ISLAND,72,18
08/21/2020,MID-HUDSON,44,6
08/21/2020,MOHAWK VALLEY,12,2
08/21/2020,NEW YORK CITY,225,57
08/21/2020,NORTH COUNTRY,3,0
08/21/2020,SOUTHERN TIER,18,12
08/21/2020,WESTERN NEW YORK,26,5
08/22/2020,CAPITAL REGION,39,8
08/22/2020,CENTRAL NEW YORK,14,4
08/22/2020,FINGER LAKES,30,8
08/22/2020,LONG ISLAND,65,19
08/22/2020,MID-HUDSON,52,6
08/22/2020,MOHAWK VALLEY,13,1
08/22/2020,NEW YORK CITY,214,47
08/22/2020,NORTH COUNTRY,4,0
08/22/2020,SOUTHERN TIER,19,12
08/22/2020,WESTERN NEW YORK,22,5
08/23/2020,CAPITAL REGION,40,8
08/23/2020,CENTRAL NEW YORK,15,5
08/23/2020,FINGER LAKES,28,8
08/23/2020,LONG ISLAND,66,19
08/23/2020,MID-HUDSON,53,9
08/23/2020,MOHAWK VALLEY,13,0
08/23/2020,NEW YORK CITY,220,51
08/23/2020,NORTH COUNTRY,5,0
08/23/2020,SOUTHERN TIER,19,13
08/23/2020,WESTERN NEW YORK,23,7
08/24/2020,CAPITAL REGION,42,10
08/24/2020,CENTRAL NEW YORK,18,5
08/24/2020,FINGER LAKES,30,8
08/24/2020,LONG ISLAND,68,20
08/24/2020,MID-HUDSON,52,8
08/24/2020,MOHAWK VALLEY,15,2
08/24/2020,NEW YORK CITY,217,60
08/24/2020,NORTH COUNTRY,5,0
08/24/2020,SOUTHERN TIER,18,12
08/24/2020,WESTERN NEW YORK,23,8
08/25/2020,CAPITAL REGION,42,11
08/25/2020,CENTRAL NEW YORK,17,5
08/25/2020,FINGER LAKES,27,8
08/25/2020,LONG ISLAND,67,23
08/25/2020,MID-HUDSON,55,8
08/25/2020,MOHAWK VALLEY,15,2
08/25/2020,NEW YORK CITY,220,57
08/25/2020,NORTH COUNTRY,3,1
08/25/2020,SOUTHERN TIER,19,12
08/25/2020,WESTERN NEW YORK,27,9
08/26/2020,CAPITAL REGION,41,11
08/26/2020,CENTRAL NEW YORK,14,3
08/26/2020,FINGER LAKES,24,8
08/26/2020,LONG ISLAND,78,25
08/26/2020,MID-HUDSON,58,7
08/26/2020,MOHAWK VALLEY,12,0
08/26/2020,NEW YORK CITY,218,51
08/26/2020,NORTH COUNTRY,3,1
08/26/2020,SOUTHERN TIER,17,10
08/26/2020,WESTERN NEW YORK,25,10
08/27/2020,CAPITAL REGION,38,11
08/27/2020,CENTRAL NEW YORK,12,3
08/27/2020,FINGER LAKES,22,7
08/27/2020,LONG ISLAND,78,24
08/27/2020,MID-HUDSON,55,7
08/27/2020,MOHAWK VALLEY,8,0
08/27/2020,NEW YORK CITY,218,49
08/27/2020,NORTH COUNTRY,3,1
08/27/2020,SOUTHERN TIER,18,10
08/27/2020,WESTERN NEW YORK,26,10
08/28/2020,CAPITAL REGION,35,12
08/28/2020,CENTRAL NEW YORK,12,2
08/28/2020,FINGER LAKES,15,7
08/28/2020,LONG ISLAND,69,23
08/28/2020,MID-HUDSON,57,7
08/28/2020,MOHAWK VALLEY,7,0
08/28/2020,NEW YORK CITY,205,46
08/28/2020,NORTH COUNTRY,3,0
08/28/2020,SOUTHERN TIER,22,11
08/28/2020,WESTERN NEW YORK,33,8
08/29/2020,CAPITAL REGION,35,10
08/29/2020,CENTRAL NEW YORK,14,1
08/29/2020,FINGER LAKES,12,7
08/29/2020,LONG ISLAND,66,17
08/29/2020,MID-HUDSON,53,7
08/29/2020,MOHAWK VALLEY,8,1
08/29/2020,NEW YORK CITY,185,53
08/29/2020,NORTH COUNTRY,3,0
08/29/2020,SOUTHERN TIER,19,8
08/29/2020,WESTERN NEW YORK,34,8
08/30/2020,CAPITAL REGION,38,8
08/30/2020,CENTRAL NEW YORK,14,1
08/30/2020,FINGER LAKES,14,8
08/30/2020,LONG ISLAND,60,17
08/30/2020,MID-HUDSON,50,7
08/30/2020,MOHAWK VALLEY,7,1
08/30/2020,NEW YORK CITY,181,52
08/30/2020,NORTH COUNTRY,3,0
08/30/2020,SOUTHERN TIER,18,8
08/30/2020,WESTERN NEW YORK,33,7
08/31/2020,CAPITAL REGION,36,6
08/31/2020,CENTRAL NEW YORK,13,1
08/31/2020,FINGER LAKES,13,7
08/31/2020,LONG ISLAND,64,16
08/31/2020,MID-HUDSON,47,8
08/31/2020,MOHAWK VALLEY,6,1
08/31/2020,NEW YORK CITY,196,54
08/31/2020,NORTH COUNTRY,3,0
08/31/2020,SOUTHERN TIER,20,9
08/31/2020,WESTERN NEW YORK,34,7
09/01/2020,CAPITAL REGION,37,6
09/01/2020,CENTRAL NEW YORK,12,0
09/01/2020,FINGER LAKES,17,8
09/01/2020,LONG ISLAND,70,17
09/01/2020,MID-HUDSON,45,8
09/01/2020,MOHAWK VALLEY,8,1
09/01/2020,NEW YORK CITY,202,60
09/01/2020,NORTH COUNTRY,3,0
09/01/2020,SOUTHERN TIER,19,8
09/01/2020,WESTERN NEW YORK,32,9
09/02/2020,CAPITAL REGION,35,6
09/02/2020,CENTRAL NEW YORK,10,0
09/02/2020,FINGER LAKES,20,7
09/02/2020,LONG ISLAND,66,14
09/02/2020,MID-HUDSON,41,7
09/02/2020,MOHAWK VALLEY,6,1
09/02/2020,NEW YORK CITY,195,65
09/02/2020,NORTH COUNTRY,4,0
09/02/2020,SOUTHERN TIER,18,8
09/02/2020,WESTERN NEW YORK,35,9
09/03/2020,CAPITAL REGION,33,6
09/03/2020,CENTRAL NEW YORK,10,0
09/03/2020,FINGER LAKES,18,5
09/03/2020,LONG ISLAND,68,16
09/03/2020,MID-HUDSON,41,8
09/03/2020,MOHAWK VALLEY,4,1
09/03/2020,NEW YORK CITY,201,63
09/03/2020,NORTH COUNTRY,4,0
09/03/2020,SOUTHERN TIER,16,7
09/03/2020,WESTERN NEW YORK,33,10
09/04/2020,CAPITAL REGION,34,7
09/04/2020,CENTRAL NEW YORK,9,0
09/04/2020,FINGER LAKES,15,4
09/04/2020,LONG ISLAND,74,18
09/04/2020,MID-HUDSON,40,7
09/04/2020,MOHAWK VALLEY,3,0
09/04/2020,NEW YORK CITY,192,63
09/04/2020,NORTH COUNTRY,4,0
09/04/2020,SOUTHERN TIER,17,7
09/04/2020,WESTERN NEW YORK,37,9
09/05/2020,CAPITAL REGION,31,6
09/05/2020,CENTRAL NEW YORK,9,0
09/05/2020,FINGER LAKES,15,3
09/05/2020,LONG ISLAND,66,16
09/05/2020,MID-HUDSON,39,9
09/05/2020,MOHAWK VALLEY,2,0
09/05/2020,NEW YORK CITY,194,68
09/05/2020,NORTH COUNTRY,4,0
09/05/2020,SOUTHERN TIER,16,7
09/05/2020,WESTERN NEW YORK,34,10
09/06/2020,CAPITAL REGION,32,5
09/06/2020,CENTRAL NEW YORK,12,0
09/06/2020,FINGER LAKES,14,3
09/06/2020,LONG ISLAND,63,16
09/06/2020,MID-HUDSON,49,9
09/06/2020,MOHAWK VALLEY,2,0
09/06/2020,NEW YORK CITY,192,67
09/06/2020,NORTH COUNTRY,3,0
09/06/2020,SOUTHERN TIER,17,6
09/06/2020,WESTERN NEW YORK,29,9
09/07/2020,CAPITAL REGION,33,4
09/07/2020,CENTRAL NEW YORK,11,0
09/07/2020,FINGER LAKES,16,4
09/07/2020,LONG ISLAND,66,16
09/07/2020,MID-HUDSON,52,8
09/07/2020,MOHAWK VALLEY,2,0
09/07/2020,NEW YORK CITY,213,66
09/07/2020,NORTH COUNTRY,4,0
09/07/2020,SOUTHERN TIER,15,6
09/07/2020,WESTERN NEW YORK,33,10
09/08/2020,CAPITAL REGION,32,3
09/08/2020,CENTRAL NEW YORK,11,0
09/08/2020,FINGER LAKES,16,4
09/08/2020,LONG ISLAND,70,20
09/08/2020,MID-HUDSON,54,8
09/08/2020,MOHAWK VALLEY,2,0
09/08/2020,NEW YORK CITY,226,68
09/08/2020,NORTH COUNTRY,4,0
09/08/2020,SOUTHERN TIER,17,7
09/08/2020,WESTERN NEW YORK,31,11
09/09/2020,CAPITAL REGION,36,3
09/09/2020,CENTRAL NEW YORK,10,0
09/09/2020,FINGER LAKES,21,4
09/09/2020,LONG ISLAND,77,21
09/09/2020,MID-HUDSON,53,9
09/09/2020,MOHAWK VALLEY,3,0
09/09/2020,NEW YORK CITY,228,66
09/09/2020,NORTH COUNTRY,4,0
09/09/2020,SOUTHERN TIER,15,7
09/09/2020,WESTERN NEW YORK,35,10
09/10/2020,CAPITAL REGION,31,2
09/10/2020,CENTRAL NEW YORK,11,0
09/10/2020,FINGER LAKES,26,6
09/10/2020,LONG ISLAND,67,21
09/10/2020,MID-HUDSON,55,8
09/10/2020,MOHAWK VALLEY,3,0
09/10/2020,NEW YORK CITY,225,64
09/10/2020,NORTH COUNTRY,2,0
09/10/2020,SOUTHERN TIER,18,7
09/10/2020,WESTERN NEW YORK,36,12
09/11/2020,CAPITAL REGION,26,3
09/11/2020,CENTRAL NEW YORK,8,0
09/11/2020,FINGER LAKES,28,7
09/11/2020,LONG ISLAND,70,22
09/11/2020,MID-HUDSON,62,10
09/11/2020,MOHAWK VALLEY,4,0
09/11/2020,NEW YORK CITY,215,66
09/11/2020,NORTH COUNTRY,2,0
09/11/2020,SOUTHERN TIER,18,7
09/11/2020,WESTERN NEW YORK,34,12
09/12/2020,CAPITAL REGION,27,4
09/12/2020,CENTRAL NEW YORK,7,0
09/12/2020,FINGER LAKES,28,5
09/12/2020,LONG ISLAND,67,21
09/12/2020,MID-HUDSON,59,13
09/12/2020,MOHAWK VALLEY,4,0
09/12/2020,NEW YORK CITY,220,67
09/12/2020,NORTH COUNTRY,3,0
09/12/2020,SOUTHERN TIER,17,7
09/12/2020,WESTERN NEW YORK,32,14
09/13/2020,CAPITAL REGION,25,5
09/13/2020,CENTRAL NEW YORK,9,1
09/13/2020,FINGER LAKES,30,6
09/13/2020,LONG ISLAND,69,24
09/13/2020,MID-HUDSON,57,16
09/13/2020,MOHAWK VALLEY,5,0
09/13/2020,NEW YORK CITY,221,68
09/13/2020,NORTH COUNTRY,2,0
09/13/2020,SOUTHERN TIER,17,10
09/13/2020,WESTERN NEW YORK,29,13
09/14/2020,CAPITAL REGION,26,4
09/14/2020,CENTRAL NEW YORK,10,1
09/14/2020,FINGER LAKES,34,8
09/14/2020,LONG ISLAND,66,25
09/14/2020,MID-HUDSON,61,15
09/14/2020,MOHAWK VALLEY,6,0
09/14/2020,NEW YORK CITY,230,71
09/14/2020,NORTH COUNTRY,2,0
09/14/2020,SOUTHERN TIER,17,10
09/14/2020,WESTERN NEW YORK,29,10
09/15/2020,CAPITAL REGION,22,4
09/15/2020,CENTRAL NEW YORK,10,0
09/15/2020,FINGER LAKES,35,10
09/15/2020,LONG ISLAND,75,21
09/15/2020,MID-HUDSON,61,15
09/15/2020,MOHAWK VALLEY,4,1
09/15/2020,NEW YORK CITY,226,67
09/15/2020,NORTH COUNTRY,2,0
09/15/2020,SOUTHERN TIER,19,10
09/15/2020,WESTERN NEW YORK,29,10
09/16/2020,CAPITAL REGION,23,4
09/16/2020,CENTRAL NEW YORK,8,0
09/16/2020,FINGER LAKES,34,11
09/16/2020,LONG ISLAND,74,21
09/16/2020,MID-HUDSON,65,17
09/16/2020,MOHAWK VALLEY,4,0
09/16/2020,NEW YORK CITY,227,64
09/16/2020,NORTH COUNTRY,2,0
09/16/2020,SOUTHERN TIER,19,10
09/16/2020,WESTERN NEW YORK,30,8
09/17/2020,CAPITAL REGION,20,5
09/17/2020,CENTRAL NEW YORK,10,1
09/17/2020,FINGER LAKES,24,9
09/17/2020,LONG ISLAND,70,28
09/17/2020,MID-HUDSON,61,15
09/17/2020,MOHAWK VALLEY,5,0
09/17/2020,NEW YORK CITY,235,65
09/17/2020,NORTH COUNTRY,1,0
09/17/2020,SOUTHERN TIER,19,10
09/17/2020,WESTERN NEW YORK,33,8
09/18/2020,CAPITAL REGION,19,5
09/18/2020,CENTRAL NEW YORK,10,1
09/18/2020,FINGER LAKES,25,9
09/18/2020,LONG ISLAND,58,24
09/18/2020,MID-HUDSON,65,15
09/18/2020,MOHAWK VALLEY,4,0
09/18/2020,NEW YORK CITY,238,70
09/18/2020,NORTH COUNTRY,0,0
09/18/2020,SOUTHERN TIER,18,11
09/18/2020,WESTERN NEW YORK,30,9
09/19/2020,CAPITAL REGION,20,3
09/19/2020,CENTRAL NEW YORK,9,1
09/19/2020,FINGER LAKES,19,9
09/19/2020,LONG ISLAND,55,20
09/19/2020,MID-HUDSON,65,13
09/19/2020,MOHAWK VALLEY,7,0
09/19/2020,NEW YORK CITY,244,65
09/19/2020,NORTH COUNTRY,0,0
09/19/2020,SOUTHERN TIER,19,10
09/19/2020,WESTERN NEW YORK,30,11
09/20/2020,CAPITAL REGION,19,4
09/20/2020,CENTRAL NEW YORK,10,1
09/20/2020,FINGER LAKES,22,8
09/20/2020,LONG ISLAND,57,20
09/20/2020,MID-HUDSON,63,16
09/20/2020,MOHAWK VALLEY,6,0
09/20/2020,NEW YORK CITY,239,65
09/20/2020,NORTH COUNTRY,0,0
09/20/2020,SOUTHERN TIER,21,10
09/20/2020,WESTERN NEW YORK,31,10
09/21/2020,CAPITAL REGION,17,4
09/21/2020,CENTRAL NEW YORK,10,1
09/21/2020,FINGER LAKES,26,8
09/21/2020,LONG ISLAND,62,24
09/21/2020,MID-HUDSON,62,16
09/21/2020,MOHAWK VALLEY,5,1
09/21/2020,NEW YORK CITY,238,61
09/21/2020,NORTH COUNTRY,0,0
09/21/2020,SOUTHERN TIER,19,10
09/21/2020,WESTERN NEW YORK,31,8
09/22/2020,CAPITAL REGION,20,4
09/22/2020,CENTRAL NEW YORK,9,1
09/22/2020,FINGER LAKES,26,7
09/22/2020,LONG ISLAND,69,26
09/22/2020,MID-HUDSON,59,14
09/22/2020,MOHAWK VALLEY,9,1
09/22/2020,NEW YORK CITY,245,67
09/22/2020,NORTH COUNTRY,2,0
09/22/2020,SOUTHERN TIER,22,14
09/22/2020,WESTERN NEW YORK,29,7
09/23/2020,CAPITAL REGION,21,3
09/23/2020,CENTRAL NEW YORK,10,1
09/23/2020,FINGER LAKES,25,7
09/23/2020,LONG ISLAND,69,25
09/23/2020,MID-HUDSON,65,17
09/23/2020,MOHAWK VALLEY,10,2
09/23/2020,NEW YORK CITY,248,70
09/23/2020,NORTH COUNTRY,2,0
09/23/2020,SOUTHERN TIER,21,14
09/23/2020,WESTERN NEW YORK,29,6
09/24/2020,CAPITAL REGION,19,3
09/24/2020,CENTRAL NEW YORK,11,1
09/24/2020,FINGER LAKES,23,7
09/24/2020,LONG ISLAND,73,24
09/24/2020,MID-HUDSON,64,17
09/24/2020,MOHAWK VALLEY,9,3
09/24/2020,NEW YORK CITY,255,80
09/24/2020,NORTH COUNTRY,3,0
09/24/2020,SOUTHERN TIER,19,12
09/24/2020,WESTERN NEW YORK,35,7
09/25/2020,CAPITAL REGION,16,2
09/25/2020,CENTRAL NEW YORK,11,1
09/25/2020,FINGER LAKES,23,6
09/25/2020,LONG ISLAND,77,24
09/25/2020,MID-HUDSON,71,16
09/25/2020,MOHAWK VALLEY,7,3
09/25/2020,NEW YORK CITY,264,91
09/25/2020,NORTH COUNTRY,3,1
09/25/2020,SOUTHERN TIER,20,10
09/25/2020,WESTERN NEW YORK,35,10
09/26/2020,CAPITAL REGION,16,4
09/26/2020,CENTRAL NEW YORK,9,2
09/26/2020,FINGER LAKES,24,4
09/26/2020,LONG ISLAND,72,28
09/26/2020,MID-HUDSON,67,17
09/26/2020,MOHAWK VALLEY,10,4
09/26/2020,NEW YORK CITY,278,75
09/26/2020,NORTH COUNTRY,2,1
09/26/2020,SOUTHERN TIER,21,10
09/26/2020,WESTERN NEW YORK,42,10
09/27/2020,CAPITAL REGION,15,2
09/27/2020,CENTRAL NEW YORK,9,0
09/27/2020,FINGER LAKES,20,3
09/27/2020,LONG ISLAND,71,19
09/27/2020,MID-HUDSON,64,14
09/27/2020,MOHAWK VALLEY,10,4
09/27/2020,NEW YORK CITY,288,75
09/27/2020,NORTH COUNTRY,2,1
09/27/2020,SOUTHERN TIER,22,9
09/27/2020,WESTERN NEW YORK,42,8
09/28/2020,CAPITAL REGION,17,4
09/28/2020,CENTRAL NEW YORK,12,0
09/28/2020,FINGER LAKES,21,4
09/28/2020,LONG ISLAND,74,22
09/28/2020,MID-HUDSON,67,18
09/28/2020,MOHAWK VALLEY,9,4
09/28/2020,NEW YORK CITY,300,76
09/28/2020,NORTH COUNTRY,3,1
09/28/2020,SOUTHERN TIER,24,9
09/28/2020,WESTERN NEW YORK,44,9
09/29/2020,CAPITAL REGION,16,5
09/29/2020,CENTRAL NEW YORK,15,0
09/29/2020,FINGER LAKES,27,5
09/29/2020,LONG ISLAND,75,19
09/29/2020,MID-HUDSON,75,18
09/29/2020,MOHAWK VALLEY,9,3
09/29/2020,NEW YORK CITY,311,71
09/29/2020,NORTH COUNTRY,4,1
09/29/2020,SOUTHERN TIER,27,13
09/29/2020,WESTERN NEW YORK,46,9
09/30/2020,CAPITAL REGION,18,5
09/30/2020,CENTRAL NEW YORK,17,0
09/30/2020,FINGER LAKES,30,5
09/30/2020,LONG ISLAND,74,18
09/30/2020,MID-HUDSON,80,16
09/30/2020,MOHAWK VALLEY,7,3
09/30/2020,NEW YORK CITY,309,70
09/30/2020,NORTH COUNTRY,2,1
09/30/2020,SOUTHERN TIER,30,13
09/30/2020,WESTERN NEW YORK,45,10
10/01/2020,CAPITAL REGION,18,5
10/01/2020,CENTRAL NEW YORK,24,1
10/01/2020,FINGER LAKES,32,7
10/01/2020,LONG ISLAND,75,20
10/01/2020,MID-HUDSON,91,17
10/01/2020,MOHAWK VALLEY,7,3
10/01/2020,NEW YORK CITY,324,72
10/01/2020,NORTH COUNTRY,3,1
10/01/2020,SOUTHERN TIER,28,12
10/01/2020,WESTERN NEW YORK,46,8
10/02/2020,CAPITAL REGION,19,6
10/02/2020,CENTRAL NEW YORK,24,2
10/02/2020,FINGER LAKES,31,8
10/02/2020,LONG ISLAND,74,18
10/02/2020,MID-HUDSON,93,17
10/02/2020,MOHAWK VALLEY,8,3
10/02/2020,NEW YORK CITY,317,71
10/02/2020,NORTH COUNTRY,3,1
10/02/2020,SOUTHERN TIER,31,13
10/02/2020,WESTERN NEW YORK,47,10
10/03/2020,CAPITAL REGION,19,5
10/03/2020,CENTRAL NEW YORK,24,2
10/03/2020,FINGER LAKES,28,7
10/03/2020,LONG ISLAND,66,14
10/03/2020,MID-HUDSON,89,14
10/03/2020,MOHAWK VALLEY,7,3
10/03/2020,NEW YORK CITY,310,71
10/03/2020,NORTH COUNTRY,3,1
10/03/2020,SOUTHERN TIER,28,10
10/03/2020,WESTERN NEW YORK,44,11
10/04/2020,CAPITAL REGION,20,4
10/04/2020,CENTRAL NEW YORK,23,3
10/04/2020,FINGER LAKES,26,6
10/04/2020,LONG ISLAND,67,17
10/04/2020,MID-HUDSON,90,14
10/04/2020,MOHAWK VALLEY,7,4
10/04/2020,NEW YORK CITY,319,78
10/04/2020,NORTH COUNTRY,5,1
10/04/2020,SOUTHERN TIER,30,10
10/04/2020,WESTERN NEW YORK,49,12
10/05/2020,CAPITAL REGION,24,5
10/05/2020,CENTRAL NEW YORK,22,2
10/05/2020,FINGER LAKES,29,6
10/05/2020,LONG ISLAND,72,18
10/05/2020,MID-HUDSON,90,16
10/05/2020,MOHAWK VALLEY,8,4
10/05/2020,NEW YORK CITY,354,77
10/05/2020,NORTH COUNTRY,6,1
10/05/2020,SOUTHERN TIER,46,15
10/05/2020,WESTERN NEW YORK,54,14
10/06/2020,CAPITAL REGION,28,6
10/06/2020,CENTRAL NEW YORK,25,2
10/06/2020,FINGER LAKES,27,6
10/06/2020,LONG ISLAND,73,19
10/06/2020,MID-HUDSON,101,18
10/06/2020,MOHAWK VALLEY,7,3
10/06/2020,NEW YORK CITY,374,87
10/06/2020,NORTH COUNTRY,7,1
10/06/2020,SOUTHERN TIER,54,22
10/06/2020,WESTERN NEW YORK,52,12
10/07/2020,CAPITAL REGION,25,6
10/07/2020,CENTRAL NEW YORK,24,0
10/07/2020,FINGER LAKES,26,3
10/07/2020,LONG ISLAND,74,20
10/07/2020,MID-HUDSON,98,14
10/07/2020,MOHAWK VALLEY,7,1
10/07/2020,NEW YORK CITY,375,83
10/07/2020,NORTH COUNTRY,8,3
10/07/2020,SOUTHERN TIER,61,24
10/07/2020,WESTERN NEW YORK,56,18
10/08/2020,CAPITAL REGION,27,6
10/08/2020,CENTRAL NEW YORK,23,0
10/08/2020,FINGER LAKES,30,5
10/08/2020,LONG ISLAND,85,18
10/08/2020,MID-HUDSON,106,16
10/08/2020,MOHAWK VALLEY,4,0
10/08/2020,NEW YORK CITY,380,84
10/08/2020,NORTH COUNTRY,8,2
10/08/2020,SOUTHERN TIER,61,23
10/08/2020,WESTERN NEW YORK,55,14
10/09/2020,CAPITAL REGION,29,6
10/09/2020,CENTRAL NEW YORK,22,0
10/09/2020,FINGER LAKES,34,7
10/09/2020,LONG ISLAND,88,17
10/09/2020,MID-HUDSON,112,18
10/09/2020,MOHAWK VALLEY,5,0
10/09/2020,NEW YORK CITY,405,92
10/09/2020,NORTH COUNTRY,8,2
10/09/2020,SOUTHERN TIER,64,22
10/09/2020,WESTERN NEW YORK,59,15
10/10/2020,CAPITAL REGION,28,6
10/10/2020,CENTRAL NEW YORK,21,0
10/10/2020,FINGER LAKES,30,7
10/10/2020,LONG ISLAND,90,21
10/10/2020,MID-HUDSON,109,13
10/10/2020,MOHAWK VALLEY,4,0
10/10/2020,NEW YORK CITY,410,99
10/10/2020,NORTH COUNTRY,7,3
10/10/2020,SOUTHERN TIER,57,19
10/10/2020,WESTERN NEW YORK,64,18
10/11/2020,CAPITAL REGION,32,5
10/11/2020,CENTRAL NEW YORK,21,4
10/11/2020,FINGER LAKES,33,7
10/11/2020,LONG ISLAND,94,21
10/11/2020,MID-HUDSON,111,13
10/11/2020,MOHAWK VALLEY,3,0
10/11/2020,NEW YORK CITY,442,94
10/11/2020,NORTH COUNTRY,6,3
10/11/2020,SOUTHERN TIER,68,20
10/11/2020,WESTERN NEW YORK,68,18
10/12/2020,CAPITAL REGION,34,5
10/12/2020,CENTRAL NEW YORK,25,5
10/12/2020,FINGER LAKES,34,7
10/12/2020,LONG ISLAND,101,22
10/12/2020,MID-HUDSON,118,15
10/12/2020,MOHAWK VALLEY,3,0
10/12/2020,NEW YORK CITY,450,86
10/12/2020,NORTH COUNTRY,7,2
10/12/2020,SOUTHERN TIER,79,21
10/12/2020,WESTERN NEW YORK,72,18
10/13/2020,CAPITAL REGION,36,6
10/13/2020,CENTRAL NEW YORK,24,5
10/13/2020,FINGER LAKES,37,9
10/13/2020,LONG ISLAND,101,26
10/13/2020,MID-HUDSON,130,18
10/13/2020,MOHAWK VALLEY,4,0
10/13/2020,NEW YORK CITY,451,93
10/13/2020,NORTH COUNTRY,5,1
10/13/2020,SOUTHERN TIER,77,25
10/13/2020,WESTERN NEW YORK,73,18
10/14/2020,CAPITAL REGION,39,6
10/14/2020,CENTRAL NEW YORK,23,5
10/14/2020,FINGER LAKES,35,7
10/14/2020,LONG ISLAND,105,27
10/14/2020,MID-HUDSON,117,22
10/14/2020,MOHAWK VALLEY,4,0
10/14/2020,NEW YORK CITY,433,89
10/14/2020,NORTH COUNTRY,5,1
10/14/2020,SOUTHERN TIER,73,25
10/14/2020,WESTERN NEW YORK,63,15
10/15/2020,CAPITAL REGION,46,6
10/15/2020,CENTRAL NEW YORK,20,7
10/15/2020,FINGER LAKES,32,7
10/15/2020,LONG ISLAND,100,23
10/15/2020,MID-HUDSON,117,18
10/15/2020,MOHAWK VALLEY,3,1
10/15/2020,NEW YORK CITY,442,96
10/15/2020,NORTH COUNTRY,5,1
10/15/2020,SOUTHERN TIER,87,26
10/15/2020,WESTERN NEW YORK,66,15
10/16/2020,CAPITAL REGION,46,5
10/16/2020,CENTRAL NEW YORK,21,7
10/16/2020,FINGER LAKES,30,7
10/16/2020,LONG ISLAND,103,22
10/16/2020,MID-HUDSON,121,17
10/16/2020,MOHAWK VALLEY,6,1
10/16/2020,NEW YORK CITY,442,94
10/16/2020,NORTH COUNTRY,3,1
10/16/2020,SOUTHERN TIER,86,26
10/16/2020,WESTERN NEW YORK,71,15
10/17/2020,CAPITAL REGION,49,6
10/17/2020,CENTRAL NEW YORK,22,8
10/17/2020,FINGER LAKES,30,8
10/17/2020,LONG ISLAND,97,21
10/17/2020,MID-HUDSON,109,16
10/17/2020,MOHAWK VALLEY,5,0
10/17/2020,NEW YORK CITY,438,97
10/17/2020,NORTH COUNTRY,2,0
10/17/2020,SOUTHERN TIER,85,28
10/17/2020,WESTERN NEW YORK,76,16
10/18/2020,CAPITAL REGION,49,5
10/18/2020,CENTRAL NEW YORK,24,9
10/18/2020,FINGER LAKES,33,8
10/18/2020,LONG ISLAND,94,21
10/18/2020,MID-HUDSON,110,18
10/18/2020,MOHAWK VALLEY,4,0
10/18/2020,NEW YORK CITY,452,95
10/18/2020,NORTH COUNTRY,4,0
10/18/2020,SOUTHERN TIER,84,27
10/18/2020,WESTERN NEW YORK,80,15
10/19/2020,CAPITAL REGION,48,6
10/19/2020,CENTRAL NEW YORK,27,8
10/19/2020,FINGER LAKES,34,9
10/19/2020,LONG ISLAND,95,21
10/19/2020,MID-HUDSON,105,14
10/19/2020,MOHAWK VALLEY,5,0
10/19/2020,NEW YORK CITY,457,95
10/19/2020,NORTH COUNTRY,7,1
10/19/2020,SOUTHERN TIER,85,27
10/19/2020,WESTERN NEW YORK,79,13
10/20/2020,CAPITAL REGION,54,5
10/20/2020,CENTRAL NEW YORK,30,9
10/20/2020,FINGER LAKES,40,10
10/20/2020,LONG ISLAND,90,21
10/20/2020,MID-HUDSON,105,17
10/20/2020,MOHAWK VALLEY,7,0
10/20/2020,NEW YORK CITY,445,90
10/20/2020,NORTH COUNTRY,6,1
10/20/2020,SOUTHERN TIER,87,29
10/20/2020,WESTERN NEW YORK,86,19
10/21/2020,CAPITAL REGION,57,6
10/21/2020,CENTRAL NEW YORK,28,9
10/21/2020,FINGER LAKES,42,10
10/21/2020,LONG ISLAND,102,27
10/21/2020,MID-HUDSON,118,23
10/21/2020,MOHAWK VALLEY,12,3
10/21/2020,NEW YORK CITY,445,83
10/21/2020,NORTH COUNTRY,7,1
10/21/2020,SOUTHERN TIER,90,29
10/21/2020,WESTERN NEW YORK,85,18
10/22/2020,CAPITAL REGION,59,9
10/22/2020,CENTRAL NEW YORK,29,10
10/22/2020,FINGER LAKES,47,14
10/22/2020,LONG ISLAND,104,28
10/22/2020,MID-HUDSON,126,20
10/22/2020,MOHAWK VALLEY,11,4
10/22/2020,NEW YORK CITY,454,90
10/22/2020,NORTH COUNTRY,7,1
10/22/2020,SOUTHERN TIER,101,27
10/22/2020,WESTERN NEW YORK,85,20
10/23/2020,CAPITAL REGION,61,12
10/23/2020,CENTRAL NEW YORK,31,9
10/23/2020,FINGER LAKES,53,11
10/23/2020,LONG ISLAND,108,24
10/23/2020,MID-HUDSON,126,23
10/23/2020,MOHAWK VALLEY,10,4
10/23/2020,NEW YORK CITY,459,100
10/23/2020,NORTH COUNTRY,5,0
10/23/2020,SOUTHERN TIER,107,26
10/23/2020,WESTERN NEW YORK,85,22
10/24/2020,CAPITAL REGION,67,13
10/24/2020,CENTRAL NEW YORK,28,7
10/24/2020,FINGER LAKES,52,13
10/24/2020,LONG ISLAND,99,23
10/24/2020,MID-HUDSON,124,23
