As of Date,Region,Total Patients Hospitalized,Total Patients in ICU
04/07/2020,NEW YORK CITY,11741,2886
04/07/2020,NORTH COUNTRY,20,7
04/07/2020,SOUTHERN TIER,30,7
04/07/2020,WESTERN NEW YORK,234,126
04/08/2020,CAPITAL REGION,195,100
04/08/2020,CENTRAL NEW YORK,52,29
04/08/2020,FINGER LAKES,121,64
04/08/2020,LONG ISLAND,4020,1078
04/08/2020,MID-HUDSON,1735,591
04/08/2020,MOHAWK VALLEY,43,21
04/08/2020,NEW YORK CITY,11836,2901
04/08/2020,NORTH COUNTRY,19,8
04/08/2020,SOUTHERN TIER,27,8
04/08/2020,WESTERN NEW YORK,231,125
04/09/2020,CAPITAL REGION,202,99
04/09/2020,CENTRAL NEW YORK,60,33
04/09/2020,FINGER LAKES,131,63
04/09/2020,LONG ISLAND,4072,1075
04/09/2020,MID-HUDSON,1815,569
04/09/2020,MOHAWK VALLEY,46,22
04/09/2020,NEW YORK CITY,11962,2899
04/09/2020,NORTH COUNTRY,19,7
04/09/2020,SOUTHERN TIER,27,11
04/09/2020,WESTERN NEW YORK,235,130
04/10/2020,CAPITAL REGION,205,96
04/10/2020,CENTRAL NEW YORK,65,36
04/10/2020,FINGER LAKES,134,65
04/10/2020,LONG ISLAND,4108,1110
04/10/2020,MID-HUDSON,1801,558
04/10/2020,MOHAWK VALLEY,45,25
04/10/2020,NEW YORK CITY,12006,2973
04/10/2020,NORTH COUNTRY,21,9
04/10/2020,SOUTHERN TIER,30,10
04/10/2020,WESTERN NEW YORK,239,127
04/11/2020,CAPITAL REGION,188,92
04/11/2020,CENTRAL NEW YORK,64,34
04/11/2020,FINGER LAKES,137,68
04/11/2020,LONG ISLAND,4070,1128
04/11/2020,MID-HUDSON,1888,576
04/11/2020,MOHAWK VALLEY,41,21
04/11/2020,NEW YORK CITY,12026,3141
04/11/2020,NORTH COUNTRY,20,7
04/11/2020,SOUTHERN TIER,31,9
04/11/2020,WESTERN NEW YORK,242,122
04/12/2020,CAPITAL REGION,189,97
04/12/2020,CENTRAL NEW YORK,62,35
04/12/2020,FINGER LAKES,142,66
04/12/2020,LONG ISLAND,4059,1112
04/12/2020,MID-HUDSON,1851,559
04/12/2020,MOHAWK VALLEY,40,24
04/12/2020,NEW YORK CITY,12184,3122
04/12/2020,NORTH COUNTRY,20,9
04/12/2020,SOUTHERN TIER,29,10
04/12/2020,WESTERN NEW YORK,249,122
04/13/2020,CAPITAL REGION,192,95
04/13/2020,CENTRAL NEW YORK,68,36
04/13/2020,FINGER LAKES,143,72
04/13/2020,LONG ISLAND,4085,1123
04/13/2020,MID-HUDSON,1866,617
04/13/2020,MOHAWK VALLEY,43,23
04/13/2020,NEW YORK CITY,12006,3125
04/13/2020,NORTH COUNTRY,18,9
04/13/2020,SOUTHERN TIER,29,12
04/13/2020,WESTERN NEW YORK,247,113
04/14/2020,CAPITAL REGION,185,86
04/14/2020,CENTRAL NEW YORK,67,40
04/14/2020,FINGER LAKES,146,70
04/14/2020,LONG ISLAND,4049,1154
04/14/2020,MID-HUDSON,1843,611
04/14/2020,MOHAWK VALLEY,43,24
04/14/2020,NEW YORK CITY,11727,3091
04/14/2020,NORTH COUNTRY,15,7
04/14/2020,SOUTHERN TIER,29,12
04/14/2020,WESTERN NEW YORK,231,110
04/15/2020,CAPITAL REGION,170,82
04/15/2020,CENTRAL NEW YORK,67,31
04/15/2020,FINGER LAKES,144,66
04/15/2020,LONG ISLAND,3924,1124
04/15/2020,MID-HUDSON,1809,538
04/15/2020,MOHAWK VALLEY,46,22
04/15/2020,NEW YORK CITY,11277,3078
04/15/2020,NORTH COUNTRY,15,7
04/15/2020,SOUTHERN TIER,31,11
04/15/2020,WESTERN NEW YORK,252,112
04/16/2020,CAPITAL REGION,164,68
04/16/2020,CENTRAL NEW YORK,66,36
04/16/2020,FINGER LAKES,145,59
04/16/2020,LONG ISLAND,3766,1106
04/16/2020,MID-HUDSON,1798,532
04/16/2020,MOHAWK VALLEY,50,20
04/16/2020,NEW YORK CITY,11035,3087
04/16/2020,NORTH COUNTRY,16,6
04/16/2020,SOUTHERN TIER,32,12
04/16/2020,WESTERN NEW YORK,244,113
04/17/2020,CAPITAL REGION,170,67
04/17/2020,CENTRAL NEW YORK,62,35
04/17/2020,FINGER LAKES,140,58
04/17/2020,LONG ISLAND,3661,1110
04/17/2020,MID-HUDSON,1802,520
04/17/2020,MOHAWK VALLEY,48,19
04/17/2020,NEW YORK CITY,10812,3053
04/17/2020,NORTH COUNTRY,14,6
04/17/2020,SOUTHERN TIER,34,13
04/17/2020,WESTERN NEW YORK,224,115
04/18/2020,CAPITAL REGION,164,62
04/18/2020,CENTRAL NEW YORK,55,33
04/18/2020,FINGER LAKES,146,59
04/18/2020,LONG ISLAND,3484,1079
04/18/2020,MID-HUDSON,1751,480
04/18/2020,MOHAWK VALLEY,46,19
04/18/2020,NEW YORK CITY,10295,3006
04/18/2020,NORTH COUNTRY,17,8
04/18/2020,SOUTHERN TIER,29,13
04/18/2020,WESTERN NEW YORK,226,119
04/19/2020,CAPITAL REGION,161,63
04/19/2020,CENTRAL NEW YORK,52,32
04/19/2020,FINGER LAKES,142,52
04/19/2020,LONG ISLAND,3410,1060
04/19/2020,MID-HUDSON,1769,497
04/19/2020,MOHAWK VALLEY,43,16
04/19/2020,NEW YORK CITY,10237,2950
04/19/2020,NORTH COUNTRY,22,8
04/19/2020,SOUTHERN TIER,28,14
04/19/2020,WESTERN NEW YORK,239,122
04/20/2020,CAPITAL REGION,166,61
04/20/2020,CENTRAL NEW YORK,56,27
04/20/2020,FINGER LAKES,143,52
04/20/2020,LONG ISLAND,3400,1022
04/20/2020,MID-HUDSON,1734,495
04/20/2020,MOHAWK VALLEY,45,19
04/20/2020,NEW YORK CITY,10279,2915
04/20/2020,NORTH COUNTRY,21,6
04/20/2020,SOUTHERN TIER,34,16
04/20/2020,WESTERN NEW YORK,257,116
04/21/2020,CAPITAL REGION,166,61
04/21/2020,CENTRAL NEW YORK,57,22
04/21/2020,FINGER LAKES,139,52
04/21/2020,LONG ISLAND,3256,1011
04/21/2020,MID-HUDSON,1698,497
04/21/2020,MOHAWK VALLEY,46,16
04/21/2020,NEW YORK CITY,9928,2897
04/21/2020,NORTH COUNTRY,22,6
04/21/2020,SOUTHERN TIER,34,13
04/21/2020,WESTERN NEW YORK,253,115
04/22/2020,CAPITAL REGION,150,53
04/22/2020,CENTRAL NEW YORK,46,18
04/22/2020,FINGER LAKES,141,51
04/22/2020,LONG ISLAND,3118,990
04/22/2020,MID-HUDSON,1623,490
04/22/2020,MOHAWK VALLEY,41,15
04/22/2020,NEW YORK CITY,9606,2848
04/22/2020,NORTH COUNTRY,21,8
04/22/2020,SOUTHERN TIER,34,14
04/22/2020,WESTERN NEW YORK,241,110
04/23/2020,CAPITAL REGION,146,54
04/23/2020,CENTRAL NEW YORK,43,13
04/23/2020,FINGER LAKES,135,47
04/23/2020,LONG ISLAND,2977,944
04/23/2020,MID-HUDSON,1557,485
04/23/2020,MOHAWK VALLEY,43,17
04/23/2020,NEW YORK CITY,9070,2849
04/23/2020,NORTH COUNTRY,25,7
04/23/2020,SOUTHERN TIER,34,12
04/23/2020,WESTERN NEW YORK,228,112
04/24/2020,CAPITAL REGION,155,52
04/24/2020,CENTRAL NEW YORK,40,13
04/24/2020,FINGER LAKES,140,47
04/24/2020,LONG ISLAND,2765,904
04/24/2020,MID-HUDSON,1481,465
04/24/2020,MOHAWK VALLEY,43,18
04/24/2020,NEW YORK CITY,8621,2783
04/24/2020,NORTH COUNTRY,21,7
04/24/2020,SOUTHERN TIER,31,14
04/24/2020,WESTERN NEW YORK,227,107
04/25/2020,CAPITAL REGION,153,51
04/25/2020,CENTRAL NEW YORK,35,12
04/25/2020,FINGER LAKES,135,42
04/25/2020,LONG ISLAND,2633,874
04/25/2020,MID-HUDSON,1458,458
04/25/2020,MOHAWK VALLEY,40,17
04/25/2020,NEW YORK CITY,8114,2708
04/25/2020,NORTH COUNTRY,19,8
04/25/2020,SOUTHERN TIER,30,12
04/25/2020,WESTERN NEW YORK,222,102
04/26/2020,CAPITAL REGION,153,48
04/26/2020,CENTRAL NEW YORK,43,12
04/26/2020,FINGER LAKES,140,39
04/26/2020,LONG ISLAND,2559,831
04/26/2020,MID-HUDSON,1475,448
04/26/2020,MOHAWK VALLEY,42,18
04/26/2020,NEW YORK CITY,8130,2629
04/26/2020,NORTH COUNTRY,19,7
04/26/2020,SOUTHERN TIER,27,11
04/26/2020,WESTERN NEW YORK,231,114
04/27/2020,CAPITAL REGION,156,49
04/27/2020,CENTRAL NEW YORK,41,13
